,ID,What environment did you use for the hackathon?,In what capacity did you participate?,Were you able to join any of the below technical training? ,"Before I participated in the hackathon, I would rate my skills on cloud tooling as ","After I participated in the hackathon, I would rate my skills on cloud tooling as ","Before I participated in the hackathon, I would rate my skills on GenAI models as ","After I participated in the hackathon, I would rate my skills on GenAI models as ",To what extent do your learnings from the hackathon feel relevant for your day to day work?,comments,answer
46,47,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
47,48,Azure,1-day hackathon,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,"It would have been beneficial to provide 1. a list of the data Quantium does hold and 2. sample data that accurately reflects (in form and scale, not contents necessarily so we don't breach privacy) what we have within Quantium, as the use of public datasets was required but then projects that weren't reflective of real Quantium business cases were penalised.",Application to Business / Use Cases
48,49,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
49,50,Neither - I didn't hack,None of the above; observer,,,,,,,"The investment made by the company is off the charts - and it is funded by other projects (often on borrowed time). I suspect same could have been achieved in a cheaper, less time-intensive way. Nonetheless, hats off to the organisers - if one is going to do this, then well done.",Time Commitment / Workload
50,51,GCP,3-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
51,52,GCP,1-day hackathon,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,Great opportunity to learn about GenAI with hands-on experience,Accessibility and Inclusion
52,53,GCP,1-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,3. Advanced -  I can design and implement valuable and scalable architectures with cloud service ,3. Advanced -  I understand the tuning of standard GenAI models,4. Expert - I am able to tune and deploy GenAI models.,Somewhat - There is some relevance but not linked directly,,
53,54,GCP,1-day hackathon,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
54,55,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,Tools provided earlier for experimentation,
55,56,GCP,3-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I am comfortable using standard GenAI models for specific tasks ,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"I would want there to be more time between the Boost Panel and the actual hackathon. I could not give my managers enough time to plan for 5 team members to be away for 3 days on the hackathon to re-direct client work and push back deadlines. We ended up creating a rotating schedule where only 2 team members were working on the hackathon on any given day of the three day event, and the rest were doing client work. Even the 2 team members had to spend time going to client meetings / doing other client work when they were meant to be on the hackathon. This lead to some very late nights and impacted how much we could deliver, and the quality of the final presentation, and a lot of exhaustion. If we had more time to warn our teams, perhaps 3 - 4 weeks, then it would have been easier to have an actual full 5-person team for the entire 3 days.",Time Commitment / Workload
56,57,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
57,58,GCP,1-day hackathon,Neither;,0. No idea about it,0. No idea about it,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
58,59,Neither - I didn't hack,Technical learning session(s) only,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
59,60,GCP,None of the above; observer,,,,,,,I was amazed at the level of participation and the high quality of the hacks,
60,61,GCP,1-day hackathon,Recording or self-paced Google / Azure training;Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
61,62,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
62,63,Azure,1-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I am comfortable using standard GenAI models for specific tasks ,3. Advanced -  I understand the tuning of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"The biggest win from this Hackathon is mitigating the early part of the Gartner hype cycle, particularly for those who are not across the technical details required to deploy genAI solutions (pure consultants, managers, GE). Because of this I think we will be able to promise a lot more feasible products and solutions rather than falling into the trap of overpromising and underdelivering that a lot of the market will.",Application to Business / Use Cases
63,64,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
64,65,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
65,66,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
66,67,GCP,3-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"Everything was very good, only point of feedback is near the end there was quite a few changes in criteria for what we needed to present/hand in and that part didn't seem fully fleshed out until the last day.",Clarity of Requirements
67,68,Azure,Technical learning session(s) only,Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I am comfortable using standard GenAI models for specific tasks ,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
68,69,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"It was very hard to find meetings/information about the hackathon at the start. All invites should have been sent to Q-all as optional so atleast we'd know if a meeting is happening. Similarly, I had no context about any of the otherwise meetings either until last 2 weeks of the hackathon which was quite late.
So I suppose just information could have been shared better.",Communication and Information Sharing
69,70,Both,3-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",The only feedback I had was I was surprised that the final 7 teams weren't mandated to demo the outputs - this meant there was no way for the audience and maybe panel to be aware that the teams actually cracked the problem or to what extent they had progressed. Apart from this the overall experience was excellent,Showcase / Presentation Format
70,71,GCP,1-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"It was a fun learning experience - very high energy

Depending on the goals of the next hackathon, something to consider is to set aside a half day or similar for the next day so that we can do a stronger presentation.",Showcase / Presentation Format
71,72,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
72,73,Neither - I didn't hack,None of the above; observer,,,,,,,"It was amazing, quality of the participations and having multiple categories was really a great idea. This will surely become bigger and better :-)",Accessibility and Inclusion
73,74,GCP,1-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",wonderful organization of the hackathon,
